symbol,model,directional_accuracy,mape,mae,rmse,price_accuracy_5pct
PG,Prophet,86.87,2.82,4.5667,5.3461,89.0
MSFT,Prophet,82.83,7.05,34.1637,43.9478,47.0
CAT,Prophet,81.82,8.42,33.3699,42.3943,38.0
BA,Prophet,80.81,10.37,20.5301,23.3727,20.0
GOOGL,Prophet,80.81,6.0,12.4091,19.6529,61.0
NVDA,Prophet,79.8,11.97,18.3419,21.8077,18.0
PFE,Prophet,79.8,6.32,1.5285,1.8637,48.0
CVX,Prophet,79.8,4.98,7.235,8.2186,50.0
COIN,Prophet,76.77,14.75,40.1421,47.7745,11.0
TSLA,Prophet,76.77,12.84,39.1975,43.9384,17.0
UNH,Prophet,76.77,19.21,65.0965,78.7864,19.0
AMD,Prophet,75.76,10.91,13.7793,17.7413,37.0
ADBE,Prophet,75.76,16.77,63.8107,75.5685,18.0
AVGO,Prophet,74.75,12.64,31.3697,39.0642,22.0
TMO,Prophet,74.75,12.06,55.1702,65.2084,25.0
MCD,Prophet,73.74,5.75,17.4028,20.4008,45.0
UPS,Prophet,73.74,16.78,16.0562,18.0472,11.0
QCOM,Prophet,72.73,6.62,10.1294,12.4577,40.0
AAPL,Prophet,72.73,8.28,18.4353,23.9125,35.0
MDT,Prophet,71.72,5.09,4.5063,5.0044,50.0
ABBV,Prophet,71.72,8.39,16.4775,19.9623,25.0
LLY,Prophet,71.72,6.99,57.2284,71.335,43.0
AXP,Prophet,70.71,10.22,30.0598,33.777,18.0
BMY,Prophet,70.71,5.16,2.5598,4.3683,62.0
SNOW,Prophet,69.7,17.48,31.8435,36.5064,6.0
JPM,Prophet,68.69,11.79,31.5966,35.6448,16.0
C,Prophet,68.69,12.16,10.0531,12.0623,22.0
DE,Prophet,66.67,8.94,42.9982,50.3339,27.0
CRM,Prophet,66.67,4.95,12.8094,14.9664,55.0
BAC,Prophet,66.67,8.91,4.0754,4.9183,33.0
BLK,Prophet,65.66,12.23,124.3313,143.4285,12.0
META,Prophet,65.66,14.14,96.9237,115.2801,18.0
SCHW,Prophet,64.65,11.38,9.86,11.4865,18.0
MA,Prophet,63.64,8.57,47.9692,56.1516,31.0
GS,Prophet,63.64,13.83,89.2,105.0533,15.0
NKE,Prophet,62.63,13.82,9.1462,10.8623,16.0
INTC,Prophet,62.63,16.65,3.7452,4.4303,15.0
DIS,Prophet,62.63,10.22,10.6105,12.0764,11.0
SBUX,Prophet,60.61,4.56,4.0731,5.6493,66.0
WMT,Prophet,54.55,11.97,11.189,12.367,10.0
COST,Prophet,54.55,8.88,84.7918,96.5468,23.0
